announcement_id,sec_code,symbol,sec_name,report_kind,report_period,publication_date,first_publication_date,title,manager,product_names,source_url,search_terms,source_snippet
1209838203,300356,300356.SZ,光一科技,FY,2020-12-31,2021-04-27,2021-04-27,光一科技：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-28/1209838203.PDF,宁波幻方,"2,199,100 人民币普通股 2,199,100 李德伟 2,190,500 人民币普通股 2,190,500 宁波幻方量化投资管理合伙企业"
1209809264,300375,300375.SZ,鹏翎股份,FY,2020-12-31,2021-04-26,2021-04-26,鹏翎股份：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-27/1209809264.PDF,宁波幻方,"3,765,100 人民币普通股 3,765,100 #张秀 3,478,010 人民币普通股 3,478,010 宁波幻方量化投资管理合伙企业"
1209739841,300402,300402.SZ,宝色股份,FY,2020-12-31,2021-04-20,2021-04-20,宝色股份：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-21/1209739841.PDF,宁波幻方,"王正先 境内自然人 0.28% 574,700 20,000 574,700 浙江九章资产管理有限公司－幻方星月石"
1209832054,300647,300647.SZ,超频三,FY,2020-12-31,2021-04-27,2021-04-27,超频三：2020年年度报告,宁波幻方量化,[],https://static.cninfo.com.cn/finalpage/2021-04-28/1209832054.PDF,宁波幻方,"覃荣林 1,010,000人民币普通股1,010,000陈书洁 912,066人民币普通股912,066宁波幻方量化投资管理合伙企业"
1209454273,300797,300797.SZ,钢研纳克,FY,2020-12-31,2021-03-25,2021-03-25,钢研纳克：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-03-26/1209454273.PDF,宁波幻方,"867,645 #丁祖水 458,900 人民币普通股 458,900 浙江九章资产管理有限公司－九章幻方青溪"
1209772974,300817,300817.SZ,双飞股份,FY,2020-12-31,2021-04-22,2021-04-22,双飞股份：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-23/1209772974.PDF,宁波幻方,"125,000 王可龙 123,100 人民币普通股 123,100 浙江九章资产管理有限公司－九章幻方青溪"
1209737740,300827,300827.SZ,上能电气,FY,2020-12-31,2021-04-20,2021-04-20,上能电气：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-21/1209737740.PDF,宁波幻方,"144,400 赵光 121,800 人民币普通股 121,800 浙江九章资产管理有限公司－九章幻方明德"
1209676796,300828,300828.SZ,锐新科技,FY,2020-12-31,2021-04-12,2021-04-12,锐新科技：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-13/1209676796.PDF,九章幻方,"187,600 人民币普通股 187,600 张顺 180,000 人民币普通股 180,000 浙江九章资产管理有限公司"
1209726468,300879,300879.SZ,大叶股份,FY,2020-12-31,2021-04-19,2021-04-19,大叶股份：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-20/1209726468.PDF,宁波幻方,"NATIONALASSOCIATION128,754人民币普通股128,754浙江九章资产管理有限公司－九章幻方青溪"
1209795885,300883,300883.SZ,龙利得,FY,2020-12-31,2021-04-23,2021-04-23,龙利得：2020年年度报告,浙江九章资产,[],https://static.cninfo.com.cn/finalpage/2021-04-24/1209795885.PDF,宁波幻方,"287,200 龙利得智能科技股份有限公司 2020 年年度报告全文 60 浙江九章资产管理有限公司－九章幻方中证"
